City,State,Population,high_school,bachelor,graduate,unemployment,median_income,obesity_rate
West Jordan,Utah,110920,92.1,24,6,2.7,68928,22.7
West Valley City,Utah,134495,78.7,13.7,4.1,5.8,57111,22.7
Alexandria,Virginia,150575,89.6,62.2,30.3,3.2,86775,21.4
Arlington,Virginia,207627,95.6,74.3,39.1,2.8,102501,20.7
Centreville,Virginia,71135,93.4,56.9,24.1,2.4,104056,22.2
Chesapeake,Virginia,233371,91.7,31.8,11.8,4.1,67491,26.9
Dale City,Virginia,65969,80.7,24.7,9.2,3.5,82994,28.2
Hampton,Virginia,136879,90,24.8,8.3,6.6,51867,32.7
Harrisonburg,Virginia,52478,84.1,35.8,15.2,9.3,37477,26.7
Lynchburg,Virginia,79047,87.6,33,13.8,4.9,39374,28.7
Newport News,Virginia,182965,90.7,24.6,9.1,5.6,48630,29.8
Norfolk,Virginia,245428,87.3,26.6,10.8,9,45996,28.5
Portsmouth,Virginia,96004,85.1,23.6,8.4,7.7,49242,15.8
Reston,Virginia,58404,95.5,66.8,30.6,3.1,111044,22.2
Richmond,Virginia,217853,85.8,37.7,14.6,8,39906,29
Roanoke,Virginia,99428,85,21.7,8.2,5.8,39835,16.5
Suffolk,Virginia,86806,87.2,27.7,11.4,4.9,61203,29.7
Virginia Beach,Virginia,450980,93,32.8,11.1,4.5,67281,25.4
Auburn,Washington,76347,91.1,22.5,6.4,6.1,55105,20.5
Bellevue,Washington,136426,95.7,65.6,28.2,4.1,98804,20.5
Bellingham,Washington,83365,95.1,41.1,15.3,10.3,49245,23.1
Burien,Washington,50188,83.3,23.7,7.1,3.6,58430,20.5
East Seattle,Washington,512735,93.9,47.3,15.4,3.5,100619,20.5
Enumclaw Plateau,Washington,57513,89.3,20.9,5.6,4.3,93736,20.5
Everett,Washington,106736,87.9,22.1,6.1,8.1,51755,27.4
Federal Way,Washington,93425,90.3,25.1,8.1,5.2,62174,20.5
Graham-Thrift,Washington,62639,88.6,17.2,5,5.7,76775,29.3
Issaquah Plateau,Washington,53651,96.9,55.1,19.2,2.3,125313,20.5
Kennewick,Washington,77421,87.6,22.4,7.6,6.6,52202,27.5
Kent,Washington,125560,87.4,23.1,6.3,5.7,66790,20.5
Kirkland,Washington,85763,94.9,58.3,22,4.3,102420,20.5
Lakewood,Washington,59610,88.1,19.8,6.6,7.8,45062,29.3
Marysville,Washington,65087,90.6,21.4,7.2,5.3,75120,27.4
Pasco,Washington,68648,75.3,18.9,6.3,12.3,60054,18.4
Redmond,Washington,59285,95.3,64.7,29.3,3.9,112492,20.5
Renton,Washington,98404,91.1,37.8,10.2,4.3,68656,20.5
Richland,Washington,53019,95.4,45.1,18.7,4.3,69984,27.5
Sammamish,Washington,51229,98.2,73,28.3,1.9,160291,20.5
Seattle,Washington,668342,94.7,62.1,25.4,3.7,80349,20.5
Shoreline,Washington,55174,90.9,42.2,14.9,4.6,71819,20.5
South Hill,Washington,52431,94.3,25,8.2,4.9,75510,29.3
Spokane Valley,Washington,91729,91.8,21.8,7.8,5.9,48525,27.2
Spokane,Washington,212052,93.7,30.3,11.7,9,44350,27.2
Tacoma,Washington,205159,88.4,28,9.1,7.8,52437,29.3
Tahoma-Maple Valley,Washington,56368,92.3,29.9,7.6,4,102071,20.5
Vancouver,Washington,169294,89.3,27.9,10.1,6.6,51988,27.6
Yakima,Washington,93357,75.3,19.1,7.8,12.4,44050,29.2
Appleton,Wisconsin,73971,91.5,31.7,9.7,3.4,52088,27.1
Eau Claire,Wisconsin,67684,92.6,33.4,10.9,5,48631,25.6
Green Bay,Wisconsin,104891,88,24.7,6.6,5,41811,26.7
Janesville,Wisconsin,64009,91,21.3,7.3,4.7,52363,27.5
Kenosha,Wisconsin,99894,89.1,22.3,6.6,6.2,48235,13.9
La Crosse,Wisconsin,52440,92.3,31.1,11.6,4.6,40237,12.4
Madison,Wisconsin,245691,93.6,55,23.4,4.8,57690,23.9
Milwaukee,Wisconsin,599642,82.7,23.9,7.5,9.4,37495,29.6
Oshkosh,Wisconsin,66621,89.8,22.7,5.8,5,44689,26.3
Racine,Wisconsin,78065,81.3,17.7,5.2,7,42472,28
Waukesha,Wisconsin,71489,92.2,35.9,12.7,3,60734,26.8
West Allis,Wisconsin,60624,90,23.3,5.4,4.1,47268,29.6
Charleston,West Virginia,50404,91.9,39.7,19.1,5.8,47540,29.6
Casper,Wyoming,60086,91.8,23.1,7.6,4.9,53741,25
Cheyenne,Wyoming,62845,93.4,29.3,11,5.2,58116,24.2
